ID,EDU,SAL,EXP,HAB,EDM,EDP,HER
686,10,5.64,4,-2.28,9,9,5
687,13,7.53,2,1.32,12,12,2
688,12,13.46,7,0.57,10,9,1
689,9,6.75,3,-1,8,8,6
690,9,14.87,5,0.17,15,13,5
691,9,6.95,3,-0.52,12,11,0
692,12,5.81,2,-0.19,12,12,2
693,9,3.59,9,-0.79,10,12,2
694,12,11.13,8,0.08,10,12,2
695,14,6.29,1,0.58,10,12,3
696,12,3.97,3,0.35,16,13,3
697,10,13.73,8,-0.6,9,7,4
698,12,7.31,4,0.62,12,10,1
699,15,8.33,3,0.95,12,9,1
700,12,5.69,2,0.97,12,12,3
701,11,5.41,1,-1.37,12,12,1
702,10,6.35,3,-0.02,12,12,3
703,13,4.48,1,0.39,12,16,3
704,12,9.97,6,1.57,16,12,6
705,12,7.38,7,0.26,12,10,1
706,12,1.49,5,-0.73,11,12,3
707,11,5.31,1,0.29,11,12,3
708,11,5.58,5,-0.15,12,12,3
709,10,5.47,15,0.37,12,12,3
710,10,17.28,10,-0.24,12,10,1
711,11,5.87,2,0.88,12,11,2
712,12,12.18,4,-0.39,12,12,3
713,11,5.58,1,0.14,12,10,1
714,12,8.93,5,-0.8,12,12,2
715,11,2.97,3,-1.71,9,6,8
716,12,11.47,3,-0.8,16,12,5
717,12,6.61,4,1.25,12,15,2
718,13,15.48,4,-0.49,12,12,3
719,12,7.61,3,0.1,12,9,5
720,12,6.23,3,-1.46,12,4,3
721,16,19.49,1,1.6,16,18,2
722,12,5.75,2,0.25,15,16,2
723,15,1.52,3,0.94,15,16,2
724,15,9.67,3,0.96,12,16,6
725,11,5,3,0.18,12,16,6
726,12,13.87,3,-0.33,12,12,3
727,11,6.55,4,-2.09,8,12,2
728,12,7.92,2,0.87,12,12,2
729,12,7.02,5,-0.38,12,12,2
730,10,1.55,6,-0.4,12,12,2
731,12,7.92,2,0.25,12,6,3
732,14,19.88,4,1.49,14,12,4
733,12,9.48,9,1.24,15,13,4
734,13,4.85,2,1.55,15,12,4
735,10,8.58,4,-1.19,12,12,5
736,15,5.36,1,0.05,12,12,4
737,11,5.87,1,1.28,14,16,1
738,11,7.09,1,0.32,13,10,1
739,12,7.24,4,1.21,10,12,5
740,11,8,5,-0.9,10,12,5
741,14,8.49,3,0.84,18,19,1
742,11,4.39,2,0.84,10,11,2
743,13,7.09,2,0.57,12,12,4
744,16,6.23,3,0.57,12,12,4
745,16,11.58,8,0.72,12,12,4
746,12,5.25,0,0.94,12,12,2
747,15,5.81,4,0.91,14,16,5
748,11,5.2,2,1.1,12,12,3
749,12,3.49,5,-0.25,12,12,1
750,16,15.33,4,1.46,16,16,2
751,12,6.82,7,0.03,10,12,2
752,10,5,1,0.28,10,10,5
753,13,12.3,4,1.38,14,17,3
754,12,5.87,1,1.54,12,17,3
755,12,4.66,3,-0.5,12,12,2
756,12,4.75,1,0.99,12,12,3
757,12,1.29,9,1.15,12,12,3
758,13,7.17,5,0.35,12,12,4
759,12,8.75,4,0.22,12,12,2
760,12,7.02,1,0.33,12,11,2
761,12,4.66,2,-1.24,12,12,2
762,14,5.15,1,0.99,12,12,2
763,12,8.08,2,0.95,12,12,7
764,12,6.11,5,-1.02,12,12,4
765,12,7.92,3,0.24,12,12,4
766,12,6.48,2,0.33,12,12,3
767,10,5.98,2,0.21,12,12,3
768,12,6.88,4,1.33,12,9,2
769,12,9.87,2,0.65,8,8,0
770,12,6.68,3,-0.39,8,8,4
771,12,5.81,2,-0.93,12,12,2
772,12,4.95,2,0.75,12,18,3
773,11,4.43,2,1.08,12,9,5
774,11,17.28,5,0,12,12,1
775,11,5,1,1.24,12,12,2
776,12,6.95,1,-2.03,11,9,3
777,11,5.41,1,1.42,7,12,5
778,11,3.28,1,0.61,12,12,2
779,14,7.92,2,1.08,12,9,2
780,11,5.98,1,1.03,12,12,1
781,14,3.89,3,0.89,12,12,3
782,12,6.35,4,0.07,8,8,3
783,12,1.56,6,0.82,12,12,5
784,12,8.93,3,-1.04,12,12,10
785,12,2.11,6,1.43,12,12,1
786,12,10.69,2,0.12,9,8,1
787,10,13.06,6,-1.33,8,2,12
788,12,5,2,0.4,10,8,3
789,18,8.75,1,1.61,14,8,1
790,10,12.93,9,-1.64,15,12,1
791,10,11.02,3,0.22,8,7,3
792,12,7.61,3,-1.23,12,12,1
793,9,5.98,3,0.66,9,8,4
794,12,7.76,3,0.46,12,12,2
795,12,9.58,5,1.02,12,10,2
796,15,9.87,4,0.64,12,8,1
797,9,2.36,9,-0.63,12,8,1
798,12,7.02,4,0.91,10,12,5
799,13,14.15,12,0.26,12,10,3
800,15,10.48,2,0.16,14,16,1
801,12,11.13,3,0.59,11,12,2
802,15,16.94,3,0.36,12,12,2
803,12,8,5,1.02,12,12,3
804,10,4.8,6,-0.19,12,12,3
805,12,6.11,1,1.75,12,13,2
806,16,6.55,1,1.12,12,12,1
807,14,6.95,2,1.32,16,18,1
808,12,6.55,9,-0.33,3,0,4
809,15,6.17,5,-0.43,0,0,4
810,15,2.07,9,0.02,6,6,8
811,17,6.23,9,1.1,4,14,8
812,10,8.33,6,0.4,4,14,8
813,9,5.98,7,-1.77,6,8,7
814,9,4.8,5,-1.95,8,5,2
815,10,3.49,15,-1.63,9,6,7
816,9,12.3,6,-1.84,6,4,10
817,13,14.43,6,0.87,12,14,3
818,14,10.91,1,1.43,15,15,4
819,17,7.61,2,0.79,18,19,2
820,15,2.77,4,-0.88,6,10,7
821,14,2.74,7,0.4,6,5,7
822,12,1.97,4,-0.18,10,5,6
823,14,5.98,2,0.65,5,0,8
824,14,5.25,1,0.19,5,6,8
825,12,6.23,3,-1.52,0,0,9
826,12,5.05,5,-1.38,6,2,6
827,12,6.11,3,-0.28,11,5,1
828,15,8,5,0.71,12,14,1
829,13,5,4,1.06,12,14,3
830,13,5,1,1.08,12,16,1
831,13,4.43,2,1.05,12,10,0
832,13,19.49,10,0.33,12,13,1
833,10,8.84,4,-0.05,9,7,3
834,12,7.92,4,-0.03,11,4,2
835,12,9.2,3,0.14,11,12,2
836,9,7.17,8,-1.58,11,5,1
837,12,4.66,3,0.05,12,12,5
838,14,6.23,7,-0.25,12,12,2
839,9,4.34,7,0.77,9,10,2
840,12,8.16,4,-1.13,9,10,2
841,14,7.02,3,0.71,4,7,5
842,14,10.38,11,0.94,5,8,5
843,12,9.77,4,-1.44,9,9,3
844,12,6.48,3,-2.19,9,10,2
845,12,15.02,2,-0.22,12,5,2
846,11,7.46,2,-2.09,12,9,2
847,12,8.93,8,0.44,9,10,2
848,15,14.87,5,1.41,12,12,1
849,10,8.08,4,-1.06,10,9,0
850,12,12.18,3,-0.8,10,12,3
851,14,4.71,1,0.8,12,12,4
852,13,5.52,1,-0.32,12,12,4
853,12,15.18,8,-1.26,7,12,0
854,12,3.66,4,-0.69,12,12,3
855,13,5.41,4,0.42,12,12,3
856,9,8.49,6,0.63,9,12,3
857,11,7.46,4,0.37,14,8,0
858,12,10.91,2,0.55,12,11,3
859,10,5.05,4,-0.7,12,11,1
860,14,10.48,6,1.43,12,8,2
861,13,6.95,2,0.87,12,10,2
862,13,6.95,4,0.14,16,13,1
863,17,11.02,1,1.44,16,20,2
864,12,10.07,5,-0.41,12,12,0
865,12,7.69,3,0.52,10,10,1
866,11,5.36,2,0.78,12,13,6
867,15,10.07,3,0.82,12,13,2
868,16,14.73,2,2.01,14,15,1
869,15,11.7,5,0.13,15,16,5
870,12,17.99,3,1.05,15,16,5
871,12,7.24,2,-0.19,15,16,5
872,17,8.93,8,1.55,12,12,3
873,9,9.97,7,-2.47,10,12,3
874,15,22.87,5,0.7,16,16,5
875,12,8.49,5,-0.61,12,11,2
876,12,5.98,1,-1.04,10,9,4
877,12,15.33,1,-0.04,16,16,2
878,16,15.95,4,1.58,16,17,1
879,15,12.67,6,-0.09,16,18,3
880,15,18.54,3,1.01,16,17,3
881,15,1.84,2,1.2,15,16,1
882,15,7.02,3,1.01,16,16,2
883,15,8.24,2,1.05,17,17,2
884,16,13.73,2,1.4,16,17,2
885,11,10.91,7,-2.05,10,12,3
886,14,10.91,4,0.55,10,8,1
887,12,5.98,2,-0.16,12,12,6
888,12,13.73,4,-0.57,12,14,6
889,10,8.58,4,0.46,12,12,5
890,12,7.24,2,-0.16,12,12,5
891,15,15.95,4,0.78,17,12,3
892,11,7.02,3,0.92,17,12,3
893,10,6.48,2,0.63,16,12,2
894,15,2.48,1,0.76,18,20,2
895,12,6.68,4,0,16,10,3
896,12,6.82,2,0.27,12,14,3
897,10,5.31,2,-0.26,7,12,1
898,10,5.2,2,-1.92,12,7,4
899,15,8.24,5,0.24,14,16,3
900,12,5.81,1,0.58,14,16,3
901,15,14.87,4,0.6,12,16,5
902,14,9.48,3,0.15,16,16,1
903,12,2.27,3,-1.57,9,8,4
904,11,4.9,3,0,7,12,2
905,11,5.58,1,-0.19,7,12,2
906,10,2.88,6,-0.72,12,12,4
907,14,5,3,1.11,12,12,2
908,11,6.61,3,0.12,12,14,3
909,11,5.81,4,-0.22,12,12,6
910,18,7.38,1,1.02,16,12,1
911,13,4.13,4,-0.28,12,12,3
912,11,6.11,1,1.41,16,18,3
913,15,18.72,4,1.69,13,18,3
914,11,5.58,1,1.5,13,18,3
915,13,7.92,0,0.84,12,12,1
916,12,3.63,3,0.63,15,10,4
917,12,10.59,3,0.87,12,12,3
918,12,7.92,3,0.47,11,11,4
919,12,13.32,3,0.79,8,8,3
920,13,37.33,2,-0.25,12,11,1
921,13,6.48,1,0.18,12,12,2
922,13,5.81,1,0.78,12,12,2
923,14,7.38,1,1.01,14,14,4
924,11,5.81,1,0.46,14,14,4
925,14,3.81,2,-0.19,12,12,3
926,11,4.95,1,-0.36,8,8,1
927,13,9.11,1,-0.26,16,14,4
928,12,6.17,5,-0.76,9,8,8
929,12,14.15,3,-0.36,12,15,6
930,12,6.35,3,0.37,11,11,4
931,12,12.18,3,0.44,12,12,1
932,12,8.41,6,-1.38,12,8,2
933,12,3.52,5,1.24,8,8,2
934,13,8.16,4,-1.34,12,12,5
935,15,15.33,3,1.09,16,16,1
936,12,7.02,4,-0.43,11,11,6
937,14,7.76,1,0.04,12,12,3
938,15,11.7,2,0.91,11,12,1
939,15,13.73,4,1.23,12,16,2
940,14,5,3,1.24,12,10,2
941,12,7.92,4,-1.01,12,12,2
942,12,18.35,5,-0.05,9,11,3
943,11,5.31,2,-1.39,12,12,5
944,12,5.41,4,0.33,12,12,2
945,15,16.11,4,0.8,16,14,3
946,15,10.38,1,0.55,12,12,2
947,12,8.33,3,-0.62,12,12,4
948,12,5.05,1,0.56,12,10,1
949,13,7.46,2,0,12,12,3
950,15,7.46,4,1.3,12,14,2
951,16,10.48,3,1.2,16,20,1
952,12,6.35,6,-1.48,12,10,2
953,15,11.13,3,0.76,12,15,5
954,12,5.2,2,-0.16,12,12,0
955,15,9.02,3,0.79,12,13,4
956,14,6.48,5,0.16,14,20,2
957,14,4.01,2,-0.33,14,20,2
958,15,6.55,4,1.27,14,16,3
959,15,9.39,2,1.11,17,16,1
960,16,9.97,1,1.33,16,16,1
961,17,20.69,3,1.19,16,20,2
962,20,11.82,3,1.48,16,20,2
963,20,32.13,5,0.59,16,20,2
964,16,13.19,3,0.54,12,19,3
965,18,86.48,10,0.75,16,16,1
966,15,7.17,4,0.4,16,16,2
967,17,16.28,1,1.58,15,7,2
968,12,5.69,2,0.73,12,12,4
969,11,7.84,4,-0.58,12,11,0
970,12,11.13,1,0.5,12,12,2
971,12,8.49,2,0.91,12,12,4
972,12,11.7,3,-0.36,10,8,4
973,11,5.31,2,-0.01,10,8,4
974,12,9.58,4,-0.17,12,11,3
975,12,14.87,2,1.06,11,12,3
976,12,10.38,2,0.38,12,10,2
977,12,5.41,4,0.37,12,12,6
978,12,8.49,7,0.3,12,16,5
979,13,5.69,1,1.39,12,16,5
980,11,3.25,1,0.67,12,16,5
981,12,3.32,4,0.89,12,16,5
982,17,13.87,5,0.56,15,16,1
983,13,9.11,5,1.21,11,16,1
984,19,12.55,4,0.94,14,16,1
985,10,7.24,4,-0.53,9,12,2
986,12,7.24,5,-0.08,12,8,4
987,12,4.95,1,0.42,12,10,4
988,16,3.7,1,1.39,12,12,3
989,12,2.11,4,0.11,12,8,1
990,12,8.67,3,0.13,12,8,4
991,12,11.13,4,1.42,12,20,2
992,19,6.35,4,1.23,17,17,2
993,17,8.24,7,1.39,17,17,2
994,15,12.3,5,0.99,12,11,2
995,11,5.75,2,-1.29,3,5,5
996,12,10.8,10,-1.08,5,8,3
997,9,8.49,13,-2.41,3,6,4
998,15,7.24,2,1,12,14,2
999,12,16.6,6,0.5,12,12,3
1000,12,11.13,3,-0.78,12,12,3
1001,13,4.66,5,-0.24,5,14,2
1002,10,5.75,3,-0.51,2,16,2
1003,12,7.24,4,-1.57,2,16,2
1004,13,4.26,5,0.04,8,8,1
1005,15,5.41,2,0.95,12,12,2
1006,13,5.25,1,0.78,12,12,2
1007,9,5.52,18,-2.46,16,11,2
1008,9,5.75,11,0.2,16,11,2
1009,10,3.52,4,-1.8,9,6,6
1010,11,7.92,2,0.67,5,8,6
1011,12,5.75,2,1.18,5,12,2
1012,12,5,3,0.35,12,12,2
1013,12,9.97,4,-0.98,9,8,1
1014,10,4.3,8,-0.11,12,16,3
1015,12,3.18,6,0.47,12,12,4
1016,12,4.52,2,-1.15,12,12,2
1017,11,5.41,3,-1.11,13,14,3
1018,14,5.36,0,-0.37,13,14,3
1019,13,3.56,7,-0.13,12,12,4
1020,12,10.91,8,-0.76,12,12,5
1021,12,7.24,3,0.24,12,11,5
1022,12,15.18,3,-0.12,12,12,7
1023,12,7.92,1,0.53,12,12,7
1024,11,7.76,1,1.35,12,12,2
1025,12,4.57,1,1.56,12,12,2
1026,11,7.46,2,0.86,12,12,2
1027,11,6.35,2,0.57,12,12,1
1028,11,5.31,1,0.87,12,12,9
1029,12,15.95,5,0.63,12,19,3
1030,13,5.1,2,1.44,17,17,2
1031,11,7.46,1,0.31,12,8,0
1032,10,7.92,1,0.7,12,12,3
1033,12,5.98,2,0.27,12,11,4
1034,12,17.99,4,0.26,12,12,4
1035,12,15.48,1,-0.58,12,12,4
1036,11,6.95,2,-0.19,12,12,1
1037,12,11.02,6,-0.34,8,12,0
1038,13,5.58,1,1.52,12,12,3
1039,12,6.42,4,0.98,12,12,3
1040,16,23.8,2,0.56,16,17,4
1041,14,13.46,2,-0.44,16,17,4
1042,13,15.95,4,0.23,16,14,2
1043,12,6.17,4,1.16,13,12,4
1044,15,21.11,2,1.81,16,16,6
1045,11,5.31,3,-1.14,6,6,4
1046,15,8,2,1.11,16,12,2
1047,12,8.33,3,-0.36,12,8,1
1048,12,16.6,3,0.37,14,12,4
1049,12,4.13,4,-0.79,12,12,2
1050,11,6.35,1,1.02,16,13,5
1051,13,4.85,1,-0.08,16,13,5
1052,15,17.46,4,1.16,12,16,3
1053,13,5.58,1,1.03,12,16,3
1054,14,7.92,1,0.83,12,12,2
1055,12,9.97,2,-0.09,12,12,3
1056,12,7.02,1,0.09,12,10,3
1057,10,5.98,1,-0.5,12,10,3
1058,10,5.75,1,-0.95,12,10,3
1059,12,11.94,5,0.19,12,12,2
1060,12,21.97,5,-0.25,12,12,2
1061,13,12.06,3,-1.64,3,1,8
1062,12,3.97,4,-1.79,5,0,3
1063,9,5,3,-1.65,5,12,3
1064,12,12.3,5,-0.04,12,12,0
1065,12,8.24,6,0.49,12,8,6
1066,12,10.69,5,0.44,10,10,3
1067,12,17.99,4,-0.37,12,12,3
1068,12,10.48,5,-0.18,9,10,3
1069,12,16.28,4,0.58,12,12,5
1070,12,3.74,5,1.01,14,12,3
1071,11,3.56,3,-0.95,10,8,5
1072,12,7.92,2,-0.19,9,12,2
1073,12,7.46,1,-0.73,12,12,3
1074,12,8.84,2,0.21,12,12,3
1075,15,9.11,5,-1.07,12,12,6
1076,14,5.87,1,0.91,12,12,2
1077,12,10.48,3,-0.24,12,10,6
1078,13,5.98,2,0.01,12,10,6
1079,13,9.2,2,0.37,12,10,6
1080,15,6.17,3,1.24,14,16,2
1081,13,8.75,2,1.25,12,12,1
1082,15,15.33,2,1.33,16,18,3
1083,11,5.75,2,0.53,9,9,6
1084,12,8.16,2,0.92,11,9,8
1085,12,5.31,5,1.05,9,13,4
1086,12,2.97,4,-1.86,12,10,4
1087,12,8.58,3,-1.34,10,8,9
1088,12,9.58,4,-1.12,10,8,9
1089,12,10.27,2,0.79,12,12,4
1090,12,9.02,2,-0.45,12,12,4
1091,9,6.55,6,-1.44,9,9,4
1092,12,13.19,4,0.22,12,12,4
1093,12,10.91,5,0.14,8,8,2
1094,12,8.49,2,0.76,12,13,1
1095,15,17.99,5,0.52,12,12,3
1096,10,8.49,2,1.04,12,14,1
1097,16,14.43,2,1.42,12,14,1
1098,15,11.94,4,1.23,12,12,2
1099,13,12.67,5,0.82,12,16,2
1100,12,8.49,3,0.82,12,16,2
1101,12,12.42,2,0.43,12,12,2
1102,12,4.39,7,1.39,12,11,3
1103,12,6.17,1,0.62,12,12,6
1104,11,6.11,1,1.09,12,12,6
1105,12,10.48,2,-0.02,12,13,8
1106,12,2.45,2,-0.09,12,12,8
1107,12,13.06,2,-0.52,12,12,1
1108,12,5.52,2,0.41,12,12,1
1109,12,7.53,3,0.69,12,8,4
1110,12,14.15,5,0.4,11,12,3
1111,10,5.47,1,0,9,9,3
1112,10,2.8,10,-0.38,12,12,1
1113,15,12.18,3,0.77,14,15,3
1114,12,2.41,7,-0.3,12,12,4
1115,12,5.64,1,1.19,13,12,4
1116,10,5.05,4,1.25,12,9,3
1117,12,6.04,3,0.29,11,15,5
1118,11,4.85,1,0.53,12,12,2
1119,11,5.41,2,0.35,12,10,2
1120,12,9.67,5,-1.72,12,9,1
1121,12,8.41,8,-2.46,12,9,1
1122,12,5.05,1,1.27,12,11,0
1123,10,6.55,5,-1.18,12,11,5
1124,9,3.93,6,-1.45,12,11,4
1125,9,9.02,11,-2.19,9,10,3
1126,12,4.75,3,-2.3,9,10,3
1127,16,10.48,1,-0.44,16,12,2
1128,12,14.87,6,-0.69,9,12,5
1129,10,13.87,6,0.11,12,8,5
1130,15,4.48,5,0.37,12,7,2
1131,11,1.73,13,-2.08,8,5,8
1132,12,5,2,-2,8,6,8
1133,12,6.75,1,0.94,12,12,0
1134,18,21.32,4,1.63,14,16,3
1135,15,5.52,6,0.68,16,16,2
1136,16,9.97,5,0.23,16,16,2
1137,11,5.98,2,0.5,12,16,5
1138,15,8.24,3,0.23,16,18,8
1139,13,5.98,1,0.29,16,16,7
1140,20,10.07,3,1.25,20,20,1
1141,17,7.24,3,0.92,20,20,1
1142,9,6.35,4,-0.19,14,14,2
1143,11,9.97,4,-0.04,12,10,4
1144,13,6.95,4,-0.05,12,12,4
1145,14,4.8,2,0.8,12,12,7
1146,12,12.42,1,0.91,12,12,7
1147,15,10.69,5,0.96,16,18,4
1148,12,12.3,6,0.36,5,5,2
1149,12,18.91,3,0.7,11,9,4
1150,12,5.41,2,0.94,16,11,3
1151,10,4.66,9,0.4,11,14,2
1152,12,6.29,4,1.14,11,12,2
1153,13,4.85,6,-0.44,12,12,1
1154,11,6.11,3,1.7,12,19,2
1155,11,5.58,1,1.57,12,11,1
1156,15,6.95,5,0.69,12,12,2
1157,13,10.91,4,-0.49,11,12,0
1158,10,7.46,5,0.52,12,12,3
1159,12,6.11,1,0.66,12,12,3
1160,9,7.02,4,0.04,12,12,3
1161,17,6.04,1,1.6,12,18,1
1162,12,5.31,1,0.09,12,12,2
1163,12,3.7,3,-0.82,12,12,1
1164,11,5.75,1,1.16,12,10,3
1165,12,8.41,2,0.42,11,12,3
1166,10,6.29,2,-0.04,12,12,3
1167,11,7.92,7,0.39,12,10,1
1168,14,12.8,2,0.67,10,8,3
1169,12,7.92,2,0.88,12,13,2
1170,12,6.04,9,0.09,12,10,0
1171,15,11.94,3,1.09,15,14,3
1172,12,13.19,5,0.82,15,17,1
1173,12,16.44,4,-0.5,12,12,2
1174,15,3.93,4,0.99,18,18,1
1175,15,8.41,5,0.66,16,18,2
1176,12,5.36,6,-0.18,12,17,6
1177,10,2.55,2,1.45,12,12,2
1178,15,12.18,4,1.09,12,18,3
1179,15,4.13,4,1.12,16,19,1
1180,12,11.7,2,-0.17,9,10,0
1181,11,4.34,3,0.13,11,12,3
1182,11,6.48,3,-0.58,12,12,3
1183,11,6.35,1,0.37,12,12,2
1184,9,6.55,6,-0.33,12,12,3
1185,12,6.04,10,0.01,12,12,3
1186,11,4.95,2,1.18,15,13,2
1187,12,5.87,8,0.12,12,12,4
1188,12,15.02,3,0.29,12,10,3
1189,12,5.25,2,0.15,12,12,2
1190,18,15.48,4,0.82,14,19,1
1191,12,5.98,3,-0.58,12,12,6
1192,11,5.41,1,1.29,12,12,6
1193,17,4.39,2,1.55,12,13,2
1194,11,5.98,2,1.3,12,13,2
1195,12,12.42,7,0.39,16,14,4
1196,11,4.9,1,1.63,12,14,2
1197,16,6.55,2,0.84,12,12,1
1198,11,5.58,1,1.24,12,16,2
1199,13,14.87,2,0.5,18,12,2
1200,14,6.17,1,0.83,10,12,3
1201,19,6.82,4,1.34,18,18,2
1202,18,11.58,2,1.43,18,18,2
1203,15,9.67,3,1.42,18,15,2
1204,16,9.11,3,1.17,16,15,2
1205,14,2.8,5,-0.76,14,20,3
1206,14,5.41,2,0.69,12,16,2
1207,9,7.24,9,-0.2,12,16,2
1208,15,15.95,3,0.69,13,18,2
1209,11,5.64,1,0.46,13,12,2
1210,15,11.35,2,1.54,12,17,4
1211,12,5.05,1,1.27,12,17,4
1212,20,6.75,5,1.94,14,17,2
1213,11,5.41,1,0.57,14,16,1
1214,16,14.58,2,1.15,17,14,1
1215,11,7.92,1,1.51,12,16,4
1216,15,8.08,6,1,12,12,0
1217,19,11.82,4,1.22,14,16,3
1218,16,21.32,3,1.23,15,16,3
1219,15,12.18,7,0.98,12,12,1
1220,14,6.29,2,1.7,12,12,1
1221,16,4.48,3,0.52,16,16,1
1222,11,6.75,3,-1.31,12,16,1
1223,12,6.23,1,0.45,13,20,4
1224,11,4.95,2,0.89,12,12,1
1225,15,7.76,5,-0.11,16,16,1
1226,13,4.34,4,-1.15,16,16,2
1227,16,5.47,3,1.04,16,18,2
1228,16,5.25,2,1.03,16,18,2
1229,12,11.82,2,-0.34,12,11,4
1230,11,5,1,0.62,12,10,2
1231,15,20.28,3,0.71,14,18,1
1232,12,5.31,1,1.06,12,16,0
1233,12,12.06,3,-0.07,14,14,2
1234,10,6.95,6,-1.89,12,8,4
1235,15,7.17,3,1.05,16,17,2
1236,12,5.47,2,-0.01,12,8,0
1237,12,7.17,5,-0.45,12,10,4
1238,12,5.25,7,-0.51,12,11,3
1239,10,8.16,3,-0.41,10,12,4
1240,12,11.47,3,0.4,12,12,2
1241,11,8.24,5,-1.49,6,12,2
1242,11,3.06,3,-0.87,6,12,2
1243,11,7.92,4,-1.95,15,18,2
1244,10,5.47,2,-0.62,16,16,1
1245,9,5.41,3,-0.62,11,4,4
1246,12,9.2,2,0.95,12,12,2
1247,12,6.04,3,-0.53,12,12,5
1248,12,2.53,8,0.51,14,14,3
1249,9,6.61,8,-0.14,9,12,3
1250,12,4.95,3,-0.37,12,14,3
1251,9,7.92,6,-1.27,9,10,7
1252,11,7.46,3,0.43,7,7,5
1253,13,6.68,2,0.46,14,13,2
1254,17,26.31,3,1.15,13,17,2
1255,15,7.17,5,1.05,12,14,1
1256,13,5.41,1,1.08,14,16,2
1257,17,7.69,2,1.22,12,9,3
1258,9,4.05,8,0.01,12,12,2
1259,12,7.61,5,0.94,12,12,2
1260,12,7.38,3,1.11,12,12,1
1261,12,7.92,8,0.26,10,12,7
1262,16,6.95,7,0.79,12,12,1
1263,15,5.81,2,-0.15,12,12,2
1264,13,10.17,3,0.48,15,14,1
1265,12,6.04,3,0.11,12,7,1
1266,9,7.92,3,-1.55,12,12,2
1267,12,7.38,2,-0.42,12,8,2
1268,12,4.66,2,0.97,12,17,0
1269,11,14.87,4,-0.04,10,8,5
1270,12,6.29,2,1.02,16,17,1
1271,12,7.46,3,-1.83,12,7,4
1272,10,5.2,2,0.39,11,8,0
1273,9,5.31,10,-1.28,8,6,8
1274,16,11.47,2,1.35,12,16,1
1275,11,6.11,2,0.94,12,12,3
1276,12,6.04,3,0.02,12,16,3
1277,13,6.48,7,0.43,6,6,4
1278,12,5.41,1,-1.88,6,6,4
1279,9,8.41,7,-2.02,11,12,3
1280,9,6.95,3,-0.13,11,10,1
1281,10,6.29,5,0.81,12,13,2
1282,12,5.1,3,-0.42,12,9,2
1283,11,7.09,4,-1.68,12,13,1
1284,10,1.8,2,-0.58,13,12,1
1285,11,7.69,2,-0.62,14,14,1
1286,12,5.1,3,-0.4,12,12,0
1287,15,6.75,2,-0.04,16,14,1
1288,12,6.23,4,0,12,12,1
1289,15,9.2,4,1.04,12,13,5
1290,14,11.58,4,1.32,15,16,1
1291,12,4.66,3,-0.08,12,12,2
1292,15,7.92,1,-0.01,18,6,3
1293,12,5.52,8,-0.41,12,15,0
1294,10,5.98,2,-0.47,11,10,1
1295,10,9.97,5,-1,12,7,3
1296,12,6.42,5,0.18,10,16,2
1297,12,9.97,2,-0.43,12,12,3
1298,9,7.61,6,0.5,14,12,3
1299,12,8.67,3,-0.17,12,12,5
1300,11,5.36,1,-1.29,12,8,2
1301,11,4.39,2,0.72,16,14,2
1302,10,5.98,2,0.1,9,11,6
1303,11,7.09,2,0.38,15,15,2
1304,12,14.58,3,0.71,15,12,5
1305,13,7.92,3,0.84,12,15,4
1306,10,7.46,5,-2.08,6,12,6
1307,11,5.98,3,-0.55,6,7,3
1308,12,6.48,2,0.44,12,12,6
1309,11,11.13,6,0.85,11,10,4
1310,14,7.61,4,-0.08,9,12,3
1311,15,8.16,4,0.82,12,15,2
1312,20,14.29,4,1.14,12,20,3
1313,12,11.47,2,-0.11,12,18,4
1314,10,6.11,2,1.18,12,12,5
1315,15,15.48,6,0.33,12,12,3
1316,11,9.97,3,0.08,8,12,1
1317,11,6.68,1,-0.07,12,14,2
1318,11,7.92,1,1.23,12,16,1
1319,15,11.13,4,0.3,15,17,1
1320,13,12.67,1,0.92,12,12,4
1321,11,8,2,-0.84,11,14,4
1322,11,5,1,1.11,12,12,4
1323,10,9.29,5,0.42,12,12,2
1324,11,7.92,2,-1.68,12,11,1
1325,12,11.94,4,-0.4,12,12,8
1326,15,6.55,5,0.51,14,11,6
1327,11,9.2,3,-0.17,12,10,6
1328,11,7.46,3,-0.92,11,11,2
1329,11,5.75,4,-2.83,12,10,1
1330,11,6.82,3,-0.47,12,12,2
1331,11,5.58,4,0.06,16,15,2
1332,11,5.81,2,0.22,16,16,2
1333,11,7.84,7,-0.06,10,10,1
1334,11,5.81,2,0.55,13,12,1
1335,16,5.15,6,1.03,12,12,0
1336,15,3.45,5,0.29,12,16,1
1337,12,16.94,5,0.61,17,12,1
1338,14,4.75,5,0.9,12,12,3
1339,15,15.02,8,0.79,10,8,3
1340,13,10.07,5,0.04,6,4,5
1341,12,11.02,6,0.48,6,7,7
1342,11,8.24,6,-0.22,6,6,7
1343,13,5.31,6,-0.67,10,12,2
1344,12,2.91,2,1.1,8,7,3
1345,11,8.93,5,0.09,12,12,1
1346,12,12.67,2,-1.37,12,15,4
1347,13,14.01,3,0.6,12,20,9
1348,16,8.75,3,1.43,16,12,3
1349,12,4.13,2,-0.5,12,8,2
1350,12,15.95,6,1.25,16,16,3
1351,12,13.87,2,0.58,16,17,3
1352,12,14.01,5,0.4,12,12,3
1353,11,7.61,5,-0.64,12,12,6
1354,9,15.48,12,0.29,13,12,3
1355,12,7.46,3,0.64,12,16,2
1356,16,4.66,4,1.33,15,12,2
